%Precio	Años	Km	CV
11350	1	16700	69
10500	3	36005	68
16900	2	4000	120
4550	8	105000	75
9500	3	24170	68
7999	1	8500	60
3300	6	126000	82
4880	5	62000	75
2500	10	89000	75
6500	5	16451	68
4800	7	71000	61
9950	1	11296	68
11500	1	1400	71
5950	5	45000	69
3500	10	83469	109
2999	10	115000	75
7200	7	22000	109
2500	9	189000	90
10900	1	4120	68
9700	2	70000	68
15550	1	1	68
8500	3	73811	71
6500	5	115000	68
8400	1	20547	73
9500	1	20258	73
3500	9	135000	75
9450	2	25000	68
6500	4	135936	68
6850	4	52000	68
6900	9	90000	68
8900	2	36000	92
6900	4	75000	68
2600	10	72500	61
8700	2	45803	68
16300	1	12000	68
5000	4	152000	68
3700	9	83000	75
11700	1	15000	68
6500	5	57000	75
3500	10	212000	68
3900	9	75000	75
3299	11	110000	75
10000	3	38000	69
4483	5	130000	69
13900	1	10	69
4000	6	100000	75
2990	9	191000	68
11490	1	19742	68
6300	4	100000	75
4900	7	75000	75
6500	5	80959	71
4500	8	65000	68
12500	2	9900	90
9500	3	44188	90
6500	10	12000	109
6300	5	61794	61
4900	6	109000	109
8300	2	51532	68
13500	1	10	68
12950	1	14705	92
12985	1	14493	68
3500	9	83000	75
3800	7	175000	68
2500	10	190000	94
11950	0	5	68
5500	6	93000	68
4600	8	75000	68
12990	1	25000	92
8500	7	56000	69
10900	1	12000	68
5900	5	105000	90
9900	1	14434	73
6500	6	68991	75
9500	3	55000	90
6500	3	54000	73
13800	1	4345	90
5888	6	71000	68
6000	8	68000	68
5000	7	34700	61
14900	1	10	69
6995	5	71857	69
4049	8	109000	68
8500	2	42281	73
6750	5	84000	71
4950	6	92000	68
7800	4	54143	68
9990	1	18560	68
9500	2	20096	69
8800	1	22558	73
4200	7	48000	75
5000	7	70000	68
9500	3	37000	90
6600	4	78000	69
4000	8	6000	90
4000	8	94000	61
8900	3	59150	92
5400	6	72000	71
12150	1	8129	73
5990	4	92100	68
8800	4	34680	95
6500	4	63000	68
4800	6	88000	68
12200	1	1	68
8900	1	27172	73
8990	2	27200	68
7500	4	79000	68
1400	9	110000	68
10500	1	29448	68
6900	5	84000	69
9400	2	18500	75
7200	3	23000	71
9500	1	9144	73
3200	8	119000	68
10000	3	44598	68
4850	8	58000	75
10900	2	4000	95
11150	1	7500	68
4650	10	95000	110
3750	9	118000	68
3300	10	47000	75
9500	2	17181	68
5999	4	50567	60
5500	5	40000	75
6120	4	135000	68
8700	3	56190	69
13000	1	2	68
3500	10	142000	90
2100	11	87000	75
6000	7	31000	75
4900	7	72872	68
12000	2	34523	69
6300	5	93000	68
4999	6	73000	90
5990	9	98683	68
8700	3	50173	69
4750	8	99000	75
9500	3	56000	68
15990	1	1	68
11500	2	45588	68
3100	10	120000	75
10750	1	5488	68
4300	7	160000	68
10950	1	35796	68
5200	5	108000	68
3500	10	158000	68
3950	7	120000	68
6500	5	79000	68
4950	6	80000	69
3900	8	71000	68
5870	4	48928	68
4500	6	71000	61
8800	3	49402	90
6700	9	156635	69
5290	8	82350	75
5100	8	140000	109
9500	3	60000	111
4800	5	131000	68
5300	5	89000	68
7000	6	42000	68
3000	8	108000	68
4200	7	92000	68
2950	9	200000	68
4500	6	100000	61
11500	1	8938	68
6500	5	118194	69
5300	5	96000	68
3000	11	149600	75
9950	1	9943	68
6500	5	25000	90
2500	8	102000	61
5800	5	59952	68
4000	8	150000	90
3950	9	181000	90
11900	2	16800	92
9500	3	59200	90
5000	8	168963	68
4500	5	88000	68
4950	8	82000	75
6300	4	100000	75
11950	1	8000	68
10500	2	19845	68
9650	1	19365	68
5900	7	68900	75
5000	5	61000	61
4900	5	91177	68
11900	2	12500	71
6900	4	47000	68
3700	7	89050	68
5800	8	53304	68
13000	3	13500	75
3690	10	120000	92
9450	2	32000	68
5200	6	85000	68
3000	10	44000	61
6000	6	63000	92
7200	5	72000	71
8490	4	64991	71
3900	7	124000	71
8900	3	44040	68
8990	2	23600	68
5500	5	70990	61
8990	2	27000	68
8700	3	58943	69
5000	5	48000	60
6750	6	61000	68
2900	10	108150	68
3500	9	95157	75
3500	9	128000	75
9200	2	37194	68
4990	6	69000	83
4590	7	134313	91
5500	6	91000	68
5900	7	60500	109
13200	1	4	68
8600	2	50000	68
6150	7	107000	68
5500	7	67000	75
5000	9	78000	68
9300	2	42156	69
8000	2	1500	95
6000	5	76000	68
4700	4	70000	69
4900	5	91177	68
4500	8	90000	68
11200	1	14557	68
10900	1	23687	68
8900	3	69200	68
5000	10	120000	91
9500	1	20000	75
9500	2	46800	69
3200	9	176300	72
4900	5	86000	68
9200	3	30251	75
12900	1	1	90
3400	9	120000	68
3450	10	92500	90
10700	1	17220	73
8100	3	42315	69
8600	3	103040	68
5850	4	52689	68
5995	7	90974	68
9900	2	42735	68
4700	8	120000	95
14300	1	1	82
7300	5	42112	68
9450	2	26250	68
4899	3	109000	68
3500	8	132000	68
8900	2	51000	69
4900	9	102000	68
4200	8	118000	75
8990	3	40450	68
5500	7	52000	68
3480	8	98000	61
6850	5	43000	69
3600	8	100000	68
5800	6	89000	69
9450	2	34300	68
4800	6	104846	90
9900	2	45000	69
10750	2	39000	68
4000	6	100000	75
7500	5	35100	68
9900	1	23755	95
8900	3	56000	68
4900	7	111000	90
3700	11	128000	68
6500	6	103598	68
11350	1	24700	69
4500	6	125000	68
7500	4	25000	68
7200	4	7000	60
3000	8	105000	68
12550	0	5	68
4300	6	164000	68
5000	9	35000	109
9600	3	42564	71
2900	9	180000	68
5300	8	51000	109
5000	6	96000	68
7200	3	38210	73
11990	1	25000	71
4500	9	62000	75
3900	9	65000	75
9900	1	22855	95
12834	1	15000	68
6800	4	60000	69
9900	3	39363	71
10700	3	15730	97
11985	1	21176	68
4950	8	102500	69
5990	6	37000	69
9800	2	68248	68
5000	6	35000	61
10000	2	21300	95
4000	10	60000	68
6850	4	83000	68
10800	1	11157	68
5400	6	17324	61
5800	9	96000	68
11900	2	25000	68
5000	5	141000	69
4300	9	137000	68
8300	3	51000	75
10500	1	159	68
8500	2	49071	68
4900	4	60000	68
4500	9	128000	68
3000	10	127000	109
5700	4	71000	61
3500	10	202450	68
9800	3	67000	90
2950	10	130000	68
4100	8	57615	75
3900	8	145000	75
3199	8	149000	68
5900	4	136000	69
6300	6	77200	68
7300	7	103000	90
8900	4	67900	69
8990	2	32500	68
5100	7	122530	68
6900	5	87770	68
3300	6	90000	61
